game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Manual Samuel,2016-10-01,2018-09-01,2019-08-01,66,Curve Digital,"Curve Digital, Perfectly Paranormal",Xbox
Sky Force: Reloaded,2018-02-01,2018-09-01,2019-08-01,86,Infinite Dreams,Infinite Dreams,Xbox
Graveyard Keeper,2018-08-01,2018-08-01,2019-08-01,70,"tinyBuild, Magic Cat","tinyBuild, Lazy Bear Games, Magic Cat",Xbox
Alien Hominid HD,2004-11-01,2018-06-01,2019-08-01,79,"Microsoft Studios, The Behemoth",The Behemoth,Xbox
BattleBlock Theater,2013-04-01,2018-06-01,2019-08-01,85,"Microsoft Studios, The Behemoth",The Behemoth,Xbox
Garou: Mark of the Wolves,1999-11-01,2017-09-01,2019-08-01,77,"SNK, HAMSTER, Co.","DotEmu, SNK",Xbox
A Kingdom for Keflings,2008-11-01,2017-06-01,2019-08-01,78,,NinjaBee,Xbox
A World of Keflings,2010-12-01,2017-06-01,2019-08-01,77,"Microsoft Studios, NinjaBee",NinjaBee,Xbox
CastleStorm,2013-05-01,2017-06-01,2019-08-01,79,"Microsoft Studios, Zen Studios",Zen Studios,Xbox
Joe Danger 2: The Movie,2012-10-01,2017-06-01,2019-08-01,82,"Microsoft Studios, Hello Games",Hello Games,Xbox
Joe Danger: Special Edition,2010-06-01,2017-06-01,2019-08-01,88,"Microsoft Studios, Hello Games",Hello Games,Xbox
Monday Night Combat,2010-08-01,2017-06-01,2019-08-01,79,"Microsoft Studios, Uber Entertainment",Uber Entertainment,Xbox
N+,2015-07-01,2017-06-01,2019-08-01,83,"Microsoft Studios, Atari","Metanet Software, Slick Entertainment, SilverBirch",Xbox
Spelunky,2009-09-01,2017-06-01,2019-08-01,87,"Microsoft Studios, Mossmouth",Mossmouth,Xbox
Toy Soldiers,2010-03-01,2017-06-01,2019-08-01,81,Microsoft Studios,Signal Studios,Xbox
Toy Soldiers: Cold War,2011-08-01,2017-06-01,2019-08-01,81,Microsoft Studios,Signal Studios,Xbox
Meet the Robinsons,2007-03-27,2019-07-01,2019-07-01,,Disney Interactive,"Sony Interactive Entertainment, Disney Interactive Studios, Avalanche Software, Climax Group, Buena Vista Games",XB360/OG Xbox
INSIDE,2016-06-28,2019-07-01,2019-07-01,87,Playdead,Playdead,XB1/Series X|S
